Date,Open,High,Low,Close,Adj Close,Volume
2016-11-11,240.500000,245.000000,235.000000,242.050003,236.477127,213944
2016-11-14,242.100006,248.000000,238.000000,247.500000,241.801620,141123
2016-11-15,250.000000,265.000000,250.000000,263.000000,256.944763,172348
2016-11-16,263.000000,263.000000,256.000000,257.600006,251.669098,74505
2016-11-17,257.700012,260.899994,249.000000,250.000000,244.244064,82876
2016-11-18,249.500000,255.899994,245.000000,254.000000,248.151962,42579
2016-11-21,254.000000,264.899994,254.000000,264.000000,257.921722,198549
2016-11-22,264.000000,268.000000,262.500000,265.500000,259.387146,125400
2016-11-23,265.600006,265.600006,260.000000,264.500000,258.410217,24838
2016-11-24,264.000000,267.000000,263.000000,265.799988,259.680267,19226
2016-11-25,265.000000,265.000000,258.000000,258.000000,252.059875,33694
2016-11-29,255.000000,257.649994,250.000000,256.500000,250.594406,31262
2016-11-30,262.500000,270.500000,262.500000,269.700012,263.490540,165168
2016-12-01,269.000000,275.000000,263.000000,264.200012,258.117157,87660
2016-12-02,262.000000,264.899994,260.000000,260.100006,254.111496,31359
2016-12-05,260.100006,265.500000,256.000000,262.549988,256.505127,46572
2016-12-06,260.000000,262.500000,259.500000,260.250000,254.258087,29230
2016-12-07,260.299988,261.000000,258.000000,259.100006,253.134521,53283
2016-12-12,265.000000,268.899994,258.000000,259.000000,253.036850,225712
2016-12-13,260.000000,264.000000,255.000000,261.600006,255.577026,88708
2016-12-14,261.600006,261.600006,253.000000,254.000000,248.151962,66200
2016-12-15,253.000000,253.500000,245.000000,246.600006,240.922348,76102
2016-12-16,246.500000,248.000000,240.199997,245.000000,239.359192,91919
2016-12-19,245.000000,247.000000,237.000000,237.500000,232.031860,96234
2016-12-20,237.600006,241.000000,237.600006,241.000000,235.451263,51463
2016-12-21,241.000000,245.000000,239.250000,245.000000,239.359192,74039
2016-12-22,246.000000,248.000000,239.000000,239.000000,233.497330,73657
2016-12-23,238.000000,243.449997,235.500000,240.000000,234.474304,37089
2016-12-26,239.000000,240.000000,230.600006,233.000000,227.635483,78906
2016-12-27,232.000000,244.899994,232.000000,244.899994,239.261475,70583
2016-12-28,244.899994,252.899994,244.899994,252.199997,246.393417,62487
2016-12-29,254.899994,259.700012,252.000000,259.000000,253.036850,64730
2016-12-30,259.000000,259.000000,259.000000,259.000000,253.036850,0
2017-01-02,261.049988,280.000000,260.000000,273.000000,266.714539,68081
2017-01-03,273.000000,276.500000,270.000000,275.000000,268.668488,199334
2017-01-04,273.000000,276.000000,270.500000,273.000000,266.714539,99205
2017-01-05,270.000000,273.000000,267.899994,270.000000,263.783569,66288
2017-01-06,271.000000,274.000000,270.000000,273.850006,267.544952,61494
2017-01-09,273.899994,290.850006,272.149994,290.500000,283.811584,259980
2017-01-10,305.000000,324.950012,300.049988,324.899994,317.419556,597184
2017-01-11,330.000000,341.000000,321.000000,324.000000,316.540283,799728
2017-01-12,330.149994,333.899994,323.100006,328.000000,320.448212,493224
2017-01-13,329.000000,335.000000,326.000000,333.000000,325.333099,241403
2017-01-16,337.000000,339.000000,333.500000,334.649994,326.945099,64971
2017-01-17,334.049988,341.000000,334.000000,335.000000,327.287048,248475
2017-01-18,334.000000,339.000000,327.000000,331.000000,323.379120,173257
2017-01-19,330.000000,331.500000,320.000000,326.000000,318.494293,185701
2017-01-20,326.000000,338.500000,320.000000,336.500000,328.752502,153731
2017-01-23,335.000000,346.000000,330.000000,346.000000,338.033783,143243
2017-01-24,346.000000,358.950012,345.000000,357.500000,349.269012,206713
2017-01-25,358.000000,368.000000,355.000000,359.549988,351.271790,216130
2017-01-26,360.000000,361.500000,350.100006,350.700012,342.625610,147074
2017-01-27,350.100006,350.700012,348.000000,349.000000,340.964722,60352
2017-01-30,349.000000,351.000000,334.250000,334.299988,326.603119,157573
2017-01-31,334.299988,343.899994,334.299988,343.500000,335.591339,234438
2017-02-01,346.000000,352.000000,339.549988,341.000000,333.148895,162176
2017-02-02,341.000000,350.100006,341.000000,350.000000,341.941681,147648
2017-02-03,350.500000,353.000000,341.799988,344.000000,336.079834,60873
2017-02-06,343.000000,346.950012,342.000000,345.549988,337.594147,45546
2017-02-07,345.549988,345.600006,328.000000,335.000000,327.287048,126226
2017-02-08,335.049988,335.049988,322.000000,331.399994,323.769928,117634
2017-02-09,334.500000,336.450012,332.000000,334.500000,326.798553,42025
2017-02-10,337.000000,341.799988,334.500000,340.000000,332.171936,134109
